1: epsilon: 0.31332803432113976, with the accuracy: 0.2982157590759076
2: epsilon: 0.3239329287690277, with the accuracy: 0.2889655363475178
3: epsilon: 0.5303885995895739, with the accuracy: 0.3119843234323432
4: epsilon: 0.5482886387574584, with the accuracy: 0.30615580673758874
5: epsilon: 1.3296579733290332, with the accuracy: 0.334738551980198
6: epsilon: 1.3675051531441271, with the accuracy: 0.33275155141843965
7: epsilon: 2.4065261050648625, with the accuracy: 0.33742007013201314
8: epsilon: 2.473598231923539, with the accuracy: 0.34375580673758874
9: epsilon: 4.327095413592455, with the accuracy: 0.35202660891089105
10: epsilon: 4.437669065824335, with the accuracy: 0.3527260638297873
11: epsilon: 9.245804603036218, with the accuracy: 0.35643564356435653
12: epsilon: 9.43008918678533, with the accuracy: 0.3575603945035461
13: epsilon: 17.61356616299025, with the accuracy: 0.36485406353135313
14: epsilon: 17.88820783390966, with the accuracy: 0.3651235593971632
15: epsilon: 25.765450744410682, with the accuracy: 0.36373246699669953
16: epsilon: 26.10324604379831, with the accuracy: 0.3725897606382979
17: epsilon: 39.48030897995137, with the accuracy: 0.37064253300330025
18: epsilon: 39.92173460388336, with the accuracy: 0.3694453679078014
19: epsilon: 50.083312750664554, with the accuracy: 0.3687216377887789
20: epsilon: 50.489619197637474, with the accuracy: 0.37312998670212766
21: epsilon: 65.5893730929181, with the accuracy: 0.3681543935643565
22: epsilon: 66.02032185314015, with the accuracy: 0.3730745789007091
23: epsilon: 76.41709351145461, with the accuracy: 0.37087458745874585
24: epsilon: 76.84801605856872, with the accuracy: 0.37331006205673756
25: epsilon: 90.52160505363459, with the accuracy: 0.38074979372937295
26: epsilon: 90.98282767831877, with the accuracy: 0.38049922429078026
