1: epsilon: 0.31332803432113976, with the accuracy: 0.2854398721122112
2: epsilon: 0.3239329287690277, with the accuracy: 0.2927886746453902
3: epsilon: 0.5303885995895739, with the accuracy: 0.2981126237623763
4: epsilon: 0.5482886387574584, with the accuracy: 0.3011414007092199
5: epsilon: 1.3296579733290332, with the accuracy: 0.3171797648514851
6: epsilon: 1.3675051531441271, with the accuracy: 0.32205784574468077
7: epsilon: 2.4065261050648625, with the accuracy: 0.33110303217821774
8: epsilon: 2.473598231923539, with the accuracy: 0.32586713209219864
9: epsilon: 4.327095413592455, with the accuracy: 0.34314408003300323
10: epsilon: 4.437669065824335, with the accuracy: 0.34206006205673756
11: epsilon: 9.245804603036218, with the accuracy: 0.3471018976897689
12: epsilon: 9.43008918678533, with the accuracy: 0.350426640070922
13: epsilon: 17.61356616299025, with the accuracy: 0.3577764026402641
14: epsilon: 17.88820783390966, with the accuracy: 0.3542774822695036
15: epsilon: 25.765450744410682, with the accuracy: 0.3558555074257426
16: epsilon: 26.10324604379831, with the accuracy: 0.36073249113475175
17: epsilon: 39.48030897995137, with the accuracy: 0.3528516914191419
18: epsilon: 39.92173460388336, with the accuracy: 0.3555795656028368
19: epsilon: 50.083312750664554, with the accuracy: 0.36426103547854777
20: epsilon: 50.489619197637474, with the accuracy: 0.3629488031914893
21: epsilon: 65.5893730929181, with the accuracy: 0.36484117161716173
22: epsilon: 66.02032185314015, with the accuracy: 0.3684064716312057
23: epsilon: 76.41709351145461, with the accuracy: 0.364325495049505
24: epsilon: 76.84801605856872, with the accuracy: 0.36674423758865243
25: epsilon: 90.52160505363459, with the accuracy: 0.3687989892739274
26: epsilon: 90.98282767831877, with the accuracy: 0.37185560726950345
